Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup,type,size_type
Bukit Jalil,675000,2,3,1212.012,Unfurnished,Built-up,3,1,0,Condominium,Silver,Medium
Jalan Klang Lama (Old Klang Road),660000,4,1,1316.016,Partly Furnished,Built-up,4,0,0,Condominium,Silver,Medium
Cheras,700000,3,2,1650.05,Unfurnished,Land area,3,1,0,Terrace/Link House,Silver,Large
Segambut,620000,2,2,1184.084,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Sri Petaling,460000,2,1,1400.0,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Brickfields,560000,1,1,668.068,Fully Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
KLCC,1850000,3,1,1485.085,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Large
Sungai Besi,470000,1,1,750.05,Partly Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Jalan Klang Lama (Old Klang Road),799000,2,2,1073.073,Fully Furnished,Built-up,4,0,0,Condominium,Silver,Medium
Taman Desa,419000,2,1,918.018,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Bangsar South,1220000,2,2,1485.085,Partly Furnished,Built-up,3,0,0,Condominium,Gold,Large
Bangsar,1200000,3,1,1600.0,Partly Furnished,Built-up,3,0,0,Condominium,Gold,Large
Damansara Heights,1500000,4,1,1450.05,Fully Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
Bangsar,3900000,3,2,2647.047,Fully Furnished,Built-up,3,1,0,Condominium,Deluxe,Large
Desa ParkCity,1680000,3,2,1900.0,Partly Furnished,Built-up,3,0,0,Terrace/Link House,Gold,Large
Jalan Klang Lama (Old Klang Road),720000,2,1,1010.01,Partly Furnished,Built-up,2,1,0,Serviced Residence,Silver,Medium
Bangsar,2000000,4,2,2147.047,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Large
Taman Tun Dr Ismail,1990000,3,2,59.595,Partly Furnished,Land area,4,0,0,Terrace/Link House,Gold,Small
Kepong,1490000,4,3,57.08,Unfurnished,Land area,5,0,0,Terrace/Link House,Gold,Small
Kepong,550000,2,2,45.57,Unfurnished,Land area,3,0,0,Terrace/Link House,Bronze,Small
Jalan Kuching,580000,2,1,1050.05,Partly Furnished,Land area,3,0,0,Condominium,Bronze,Medium
Sentul,438000,2,1,1120.02,Unfurnished,Land area,3,0,0,Condominium,Bronze,Medium
Sentul,660000,3,1,1412.012,Partly Furnished,Land area,4,0,0,Condominium,Silver,Large
Kepong,550000,2,1,946.046,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Small
Kepong,368000,2,1,837.037,Unfurnished,Built-up,3,0,0,Townhouse,Bronze,Small
Sentul,665000,3,1,1412.012,Unfurnished,Land area,4,0,0,Condominium,Silver,Large
KLCC,1680000,3,2,2200.0,Partly Furnished,Built-up,2,2,0,Condominium,Gold,Large
Cheras,1480000,5,2,39.046,Unfurnished,Land area,5,0,0,Terrace/Link House,Gold,Small
Jalan Klang Lama (Old Klang Road),440000,2,1,772.072,Partly Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Bangsar,600000,1,1,441.041,Fully Furnished,Built-up,0,0,1,Serviced Residence,Bronze,Small
Ampang Hilir,830000,1,1,736.036,Fully Furnished,Built-up,1,0,0,Serviced Residence,Silver,Small
Ampang Hilir,1100000,2,1,954.054,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Small
Ampang Hilir,555000,1,1,502.002,Fully Furnished,Built-up,0,0,1,Serviced Residence,Bronze,Small
Ampang Hilir,1050000,2,1,988.088,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Medium
Ampang,620000,2,1,940.04,Fully Furnished,Built-up,2,1,0,Condominium,Bronze,Small
Jalan Kuching,750000,2,1,1200.0,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Sri Petaling,1068000,4,4,53.585,Partly Furnished,Land area,4,2,0,Terrace/Link House,Silver,Small
Mont Kiara,3480000,5,3,3668.068,Partly Furnished,Built-up,5,0,0,Condominium,Deluxe,Large
Mont Kiara,2800000,5,3,3668.068,Partly Furnished,Built-up,5,0,0,Condominium,Gold,Large
Taman Melawati,1150000,3,3,3200.0,Unfurnished,Land area,4,0,0,Semi-detached House,Silver,Large
Ampang,1800000,5,2,3326.026,Fully Furnished,Land area,4,1,0,Semi-detached House,Gold,Large
Taman Melawati,1800000,4,3,58.585,Partly Furnished,Land area,3,1,0,Terrace/Link House,Gold,Small
Dutamas,1800000,4,2,1974.074,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Ampang,5700000,6,5,12800.0,Partly Furnished,Land area,7,1,0,Bungalow,Deluxe,Extra Large
Mont Kiara,2800000,4,3,2700.0,Fully Furnished,Built-up,3,2,0,Condominium,Gold,Large
Mont Kiara,12800000,10,4,15750.05,Partly Furnished,Land area,8,0,0,Bungalow,Deluxe,Extra Large
Taman Melawati,6200000,7,4,8000.0,Partly Furnished,Land area,6,1,0,Bungalow,Deluxe,Extra Large
KLCC,4300,3,1,1862.062,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Large
Sri Petaling,529000,2,1,980.08,Fully Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Sri Petaling,598000,3,2,1279.079,Fully Furnished,Built-up,3,1,0,Serviced Residence,Bronze,Medium
Pantai,470000,2,1,1023.023,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
KL City,920000,1,1,657.057,Fully Furnished,Built-up,1,0,0,Serviced Residence,Silver,Small
KLCC,3000000,5,2,3500.0,Unfurnished,Built-up,4,1,0,Condominium,Gold,Large
KLCC,950000,1,1,764.064,Fully Furnished,Built-up,1,0,0,Serviced Residence,Silver,Small
KL City,1680000,2,1,1076.076,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
KLCC,7600000,4,2,3218.018,Partly Furnished,Built-up,3,2,0,Condominium,Deluxe,Large
KLCC,2950000,5,3,2809.009,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
KLCC,1950000,3,1,1332.032,Fully Furnished,Built-up,3,0,0,Serviced Residence,Gold,Medium
KLCC,6950000,6,4,6600.0,Fully Furnished,Built-up,6,0,0,Condominium,Deluxe,Extra Large
Jalan Klang Lama (Old Klang Road),699000,2,2,1164.064,Partly Furnished,Built-up,2,0,0,Condominium,Silver,Medium
KLCC,2470000,2,2,1006.006,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
KLCC,4800000,5,2,4488.088,Fully Furnished,Built-up,4,0,0,Condominium,Deluxe,Extra Large
KLCC,1247000,1,1,850.05,Fully Furnished,Built-up,1,0,0,Serviced Residence,Gold,Small
KLCC,4250000,4,2,3897.097,Fully Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Extra Large
KLCC,2700000,4,3,1806.006,Fully Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
KL City,1150000,2,1,1076.076,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Medium
KL City,1650000,2,1,1012.012,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Bukit Bintang,775000,2,1,775.075,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Small
KLCC,1800000,5,2,1905.005,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Bangsar,4800000,5,5,5700.0,Partly Furnished,Built-up,5,1,0,Condominium,Deluxe,Extra Large
Ampang Hilir,3500,2,1,942.042,Fully Furnished,Built-up,1,1,0,Serviced Residence,Bronze,Small
Cheras,930000,4,2,48.575,Partly Furnished,Land area,7,0,0,Terrace/Link House,Silver,Small
Cheras,210000,2,1,650.05,Unfurnished,Built-up,3,0,0,Flat,Bronze,Small
Taman Desa,499000,2,1,1200.0,Partly Furnished,Land area,3,0,0,Condominium,Bronze,Medium
KLCC,1926000,2,2,1426.026,Fully Furnished,Built-up,3,0,0,Serviced Residence,Gold,Large
Bukit Jalil,1500000,3,2,1415.015,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Batu Caves,950000,2,2,1119.019,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Sungai Besi,488000,2,1,855.055,Unfurnished,Built-up,2,0,0,Condominium,Bronze,Small
Bukit Jalil,660000,2,2,791.091,Unfurnished,Built-up,2,0,0,Serviced Residence,Silver,Small
Ampang,610000,2,1,1485.085,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Large
Cheras,1100000,4,2,49.575,Partly Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Cheras,450000,2,2,1027.027,Partly Furnished,Built-up,2,0,0,Condominium,Bronze,Medium
Bangsar,13000000,6,4,11500.0,Partly Furnished,Land area,5,1,0,Bungalow,Deluxe,Extra Large
Cheras,500000,2,2,1050.05,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Cheras,505000,2,2,1050.05,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Cheras,404000,2,1,825.025,Unfurnished,Built-up,2,0,0,Condominium,Bronze,Small
Bukit Bintang,830000,1,1,538.038,Fully Furnished,Built-up,1,0,0,Condominium,Silver,Small
Taman Desa,450000,1,1,607.007,Fully Furnished,Built-up,0,0,1,Condominium,Bronze,Small
Taman Desa,2806120,6,5,4526.026,Partly Furnished,Built-up,6,1,0,Condominium,Gold,Extra Large
Ampang,600000,4,2,1170.07,Partly Furnished,Built-up,4,0,0,Terrace/Link House,Bronze,Medium
Mont Kiara,920000,2,1,1200.0,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Sentul,530000,2,2,1080.08,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Cheras,930000,4,3,52.08,Partly Furnished,Land area,4,0,0,Terrace/Link House,Silver,Small
Cheras,1250000,4,2,33.545,Unfurnished,Land area,5,0,0,Terrace/Link House,Gold,Small
KLCC,4758600,3,2,166821.021,Partly Furnished,Built-up,3,0,0,Serviced Residence,Deluxe,Extra Large
KLCC,3502800,3,2,1668.068,Partly Furnished,Built-up,3,0,0,Serviced Residence,Deluxe,Large
Other,3200000,5,4,2850.05,Partly Furnished,Land area,4,1,0,Semi-detached House,Gold,Large
Jalan Klang Lama (Old Klang Road),615000,2,1,965.065,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Small
Taman Desa,460000,2,1,715.015,Fully Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Mont Kiara,1900000,6,3,3700.0,Fully Furnished,Built-up,5,0,0,Condominium,Gold,Large
KLCC,2738000,2,1,1114.014,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Mont Kiara,1600000,2,1,1414.014,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Large
Mont Kiara,1200000,2,1,1041.041,Partly Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Damansara Heights,1800000,2,1,1184.084,Fully Furnished,Built-up,1,1,0,Serviced Residence,Gold,Medium
Damansara Heights,2650000,3,2,1851.051,Fully Furnished,Built-up,2,2,0,Serviced Residence,Gold,Large
Ampang Hilir,6000000,5,3,4412.012,Partly Furnished,Built-up,4,1,0,Condominium,Deluxe,Extra Large
KLCC,5000000,6,5,6122.022,Unfurnished,Built-up,5,0,0,Serviced Residence,Deluxe,Extra Large
KLCC,1900000,2,1,1299.099,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Mont Kiara,2800000,5,2,2702.002,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
KLCC,4000000,4,3,3101.001,Partly Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Large
Mont Kiara,6300000,4,6,6458.058,Partly Furnished,Land area,5,1,0,Semi-detached House,Deluxe,Extra Large
Mont Kiara,1350000,4,2,3100.0,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Sentul,950000,4,3,1381.081,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Medium
Sentul,945000,4,2,1381.081,Fully Furnished,Built-up,3,1,0,Condominium,Silver,Medium
Sentul,1050000,4,2,1567.067,Unfurnished,Built-up,4,0,0,Condominium,Silver,Large
Jalan Klang Lama (Old Klang Road),1230000,4,2,1782.082,Fully Furnished,Built-up,4,0,0,Condominium,Gold,Large
Bukit Jalil,428000,2,2,1091.091,Partly Furnished,Land area,3,0,0,Condominium,Bronze,Medium
Mont Kiara,3000000,5,3,3729.029,Fully Furnished,Built-up,4,1,0,Condominium,Gold,Extra Large
Mont Kiara,2250000,5,2,2498.098,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Setapak,440000,2,2,1002.002,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Setapak,470000,3,2,1300.0,Partly Furnished,Built-up,4,0,0,Serviced Residence,Bronze,Medium
Setapak,450000,1,2,622.022,Partly Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Taman Tun Dr Ismail,1750000,3,2,49.575,Partly Furnished,Land area,4,1,0,Terrace/Link House,Gold,Small
Dutamas,820000,4,2,2850.05,Partly Furnished,Built-up,3,2,0,Condominium,Silver,Large
Bangsar,1200000,3,3,1571.071,Partly Furnished,Built-up,2,1,0,Condominium,Gold,Large
Cheras,495000,2,1,956.056,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Bandar Damai Perdana,635000,3,2,1488.088,Partly Furnished,Built-up,4,0,0,Townhouse,Silver,Large
Cheras,1400000,2,1,1210.01,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
KLCC,1800000,2,2,1163.063,Partly Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Jalan Sultan Ismail,800000,3,1,1160.06,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Medium
Segambut,348000,2,1,1009.009,Unfurnished,Built-up,3,0,0,Apartment,Bronze,Medium
Cheras,548000,2,2,1129.029,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Damansara Heights,2028000,2,2,1152.052,Partly Furnished,Built-up,1,1,0,Serviced Residence,Gold,Medium
Ampang,666000,2,1,850.05,Partly Furnished,Built-up,2,0,0,Serviced Residence,Silver,Small
Jalan Ipoh,1380000,5,4,57.575,Partly Furnished,Land area,5,1,0,Semi-detached House,Gold,Small
Bangsar,6500,5,2,2476.076,Partly Furnished,Built-up,3,2,0,Condominium,Bronze,Large
Bangsar,1700000,3,2,2100.0,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Salak Selatan,530000,2,2,872.072,Partly Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Setapak,490000,2,1,1102.002,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Bukit Jalil,1090000,4,2,1772.072,Partly Furnished,Built-up,4,1,0,Condominium,Silver,Large
Desa ParkCity,1980000,3,3,2600.0,Partly Furnished,Built-up,3,1,0,Terrace/Link House,Gold,Large
Desa ParkCity,4999999,7,5,59.085,Partly Furnished,Land area,5,2,0,Terrace/Link House,Deluxe,Small
Desa ParkCity,2000000,4,2,1851.051,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Segambut,788000,3,2,1893.093,Partly Furnished,Built-up,3,1,0,Condominium,Silver,Large
Desa ParkCity,5780000,9,6,59.085,Partly Furnished,Land area,8,1,0,Terrace/Link House,Deluxe,Small
Desa ParkCity,1580000,3,2,2066.066,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,1890000,4,2,1808.008,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,1930000,4,2,1883.083,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Sunway SPK,1380000,4,2,56.587,Partly Furnished,Land area,3,1,0,Townhouse,Gold,Small
Desa ParkCity,3960000,7,6,65.09,Partly Furnished,Land area,5,1,0,Bungalow,Deluxe,Small
Desa ParkCity,1590000,4,2,1777.077,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,1950000,3,2,1743.043,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,2680000,6,5,61.0,Partly Furnished,Land area,5,1,0,Terrace/Link House,Gold,Small
Desa ParkCity,3430000,6,4,54.585,Partly Furnished,Land area,4,1,0,Terrace/Link House,Deluxe,Small
Bandar Menjalara,1711000,4,3,2723.023,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Bandar Menjalara,1764000,4,3,2443.043,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,2200000,4,2,1862.062,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Desa ParkCity,3900000,5,6,4607.007,Partly Furnished,Land area,4,1,0,Terrace/Link House,Deluxe,Extra Large
Desa ParkCity,2780000,6,4,61.0,Partly Furnished,Land area,5,1,0,Terrace/Link House,Gold,Small
Desa ParkCity,3930000,4,5,3100.0,Partly Furnished,Built-up,3,2,0,Terrace/Link House,Deluxe,Large
Desa ParkCity,1600000,4,2,2066.066,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Kuchai Lama,1350000,4,3,2903.003,Partly Furnished,Built-up,5,0,0,Condominium,Gold,Large
Setapak,590000,2,2,1325.025,Partly Furnished,Built-up,3,1,0,Serviced Residence,Bronze,Medium
Setapak,390000,2,1,943.043,Partly Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Sentul,550000,2,2,1231.031,Unfurnished,Built-up,3,1,0,Condominium,Bronze,Medium
KLCC,3300000,3,1,2800.0,Partly Furnished,Built-up,3,0,0,Serviced Residence,Gold,Large
Damansara,800000,3,1,49.575,Partly Furnished,Land area,4,1,0,Terrace/Link House,Silver,Small
Jalan Klang Lama (Old Klang Road),423000,2,1,900.0,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Bukit Jalil,487999,2,1,1087.087,Partly Furnished,Built-up,4,0,0,Condominium,Bronze,Medium
Setapak,450000,2,2,1009.009,Unfurnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Cheras,470000,2,2,854.054,Unfurnished,Built-up,2,0,0,Condominium,Bronze,Small
Jalan Klang Lama (Old Klang Road),520000,2,1,807.007,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Small
Taman Desa,645000,2,1,935.035,Unfurnished,Built-up,3,0,0,Serviced Residence,Silver,Small
Ampang,390000,2,2,430.03,Unfurnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
KLCC,1700000,4,2,2315.015,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Jalan Klang Lama (Old Klang Road),520000,1,1,730.03,Partly Furnished,Built-up,2,0,0,Condominium,Bronze,Small
KLCC,3800000,4,2,3895.095,Partly Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Extra Large
Bandar Menjalara,368000,2,1,982.082,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Jalan Kuching,438000,2,1,1100.0,Unfurnished,Built-up,3,0,0,Condominium,Bronze,Medium
Jalan Kuching,538000,2,1,1200.0,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Bukit Tunku (Kenny Hills),1550000,3,1,2100.0,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Ampang Hilir,998000,2,1,1030.03,Fully Furnished,Built-up,1,1,0,Serviced Residence,Silver,Medium
Bangsar,2200000,4,2,2000.0,Partly Furnished,Built-up,4,0,0,Terrace/Link House,Gold,Large
Dutamas,630000,1,2,672.072,Fully Furnished,Built-up,1,0,0,Serviced Residence,Silver,Small
Sentul,319000,2,1,877.077,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Dutamas,950000,2,1,1060.06,Fully Furnished,Built-up,2,0,0,Serviced Residence,Silver,Medium
Sri Petaling,390000,3,1,34.555,Unfurnished,Land area,2,0,0,Terrace/Link House,Bronze,Small
Kuchai Lama,560000,2,2,1006.006,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Kuchai Lama,370000,1,1,568.068,Partly Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Mont Kiara,2350000,3,2,2498.098,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
Mont Kiara,2593660,5,3,3163.063,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Mont Kiara,800000,1,1,0.0,Unknown,Land area,1,0,0,Serviced Residence,Silver,Small
Cheras,378000,2,2,920.02,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Sri Hartamas,8500000,7,3,6200.0,Partly Furnished,Land area,6,0,0,Bungalow,Deluxe,Extra Large
Mont Kiara,1380000,3,2,1722.022,Partly Furnished,Built-up,3,0,0,Condominium,Gold,Large
Desa Petaling,329000,2,1,956.056,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
Batu Caves,751000,2,2,1100.0,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Cheras,888000,3,2,1800.0,Partly Furnished,Built-up,4,0,0,Townhouse,Silver,Large
Bukit Jalil,628000,2,2,1057.057,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
KLCC,2180000,3,2,2208.008,Partly Furnished,Built-up,3,1,0,Serviced Residence,Gold,Large
Jalan Klang Lama (Old Klang Road),850000,2,2,1578.078,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Large
Mont Kiara,1300000,2,1,0.0,Unknown,Land area,2,0,0,Serviced Residence,Gold,Small
Mont Kiara,1890000,4,2,2648.048,Partly Furnished,Built-up,3,1,0,Condominium,Gold,Large
KLCC,4190000,3,2,1737.037,Fully Furnished,Built-up,3,0,0,Serviced Residence,Deluxe,Large
KLCC,8500000,4,2,3063.063,Fully Furnished,Built-up,3,0,0,Serviced Residence,Deluxe,Large
Desa Pandan,285000,2,1,924.024,Partly Furnished,Built-up,3,0,0,Apartment,Bronze,Small
OUG,1230000,4,2,51.08,Partly Furnished,Land area,5,0,0,Terrace/Link House,Gold,Small
Jalan Klang Lama (Old Klang Road),460000,2,1,852.052,Partly Furnished,Built-up,3,1,0,Serviced Residence,Bronze,Small
Bangsar,3600000,4,4,4825.025,Fully Furnished,Land area,3,1,0,Semi-detached House,Deluxe,Extra Large
KLCC,2886000,5,1,4123.023,Fully Furnished,Built-up,7,0,0,Condominium,Gold,Extra Large
KL Sentral,2420000,1,1,820.02,Fully Furnished,Built-up,1,0,0,Serviced Residence,Gold,Small
KL Sentral,1450000,3,1,1432.032,Fully Furnished,Built-up,3,1,0,Condominium,Gold,Large
Wangsa Maju,650000,2,1,1243.043,Partly Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Bangsar,1650000,3,2,1700.0,Partly Furnished,Built-up,4,0,0,Terrace/Link House,Gold,Large
Taman Desa,520000,2,1,715.015,Partly Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Cheras,313888,2,1,819.019,Partly Furnished,Land area,2,0,0,Serviced Residence,Bronze,Small
Cheras,445000,2,1,916.016,Fully Furnished,Built-up,2,0,0,Serviced Residence,Bronze,Small
Cheras,580000,2,1,1341.041,Fully Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Damansara Heights,9300000,6,4,8365.065,Partly Furnished,Land area,6,0,0,Bungalow,Deluxe,Extra Large
Bandar Menjalara,350000,2,1,855.055,Fully Furnished,Built-up,3,1,0,Serviced Residence,Bronze,Small
Taman Tun Dr Ismail,650000,1,1,530.03,Unfurnished,Built-up,0,0,1,Serviced Residence,Silver,Small
Sri Hartamas,560000,1,1,560.06,Fully Furnished,Built-up,1,0,0,Serviced Residence,Bronze,Small
Bandar Menjalara,360000,2,1,987.087,Partly Furnished,Built-up,3,1,0,Serviced Residence,Bronze,Medium
Setapak,480000,2,1,1100.0,Fully Furnished,Built-up,3,0,0,Apartment,Bronze,Medium
Jalan Kuching,290000,2,1,1024.024,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Keramat,630000,2,1,1382.082,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Dutamas,478000,2,1,1200.0,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Cheras,600000,2,1,920.02,Unfurnished,Built-up,2,1,0,Serviced Residence,Bronze,Small
Bangsar,930000,1,1,689.089,Partly Furnished,Built-up,1,1,0,Serviced Residence,Silver,Small
Bangsar,1380000,2,1,1098.098,Unfurnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Bangsar,683000,1,1,441.041,Fully Furnished,Built-up,0,0,1,Serviced Residence,Silver,Small
Bangsar,710000,1,1,441.041,Unfurnished,Built-up,0,0,1,Serviced Residence,Silver,Small
Bangsar,1420000,2,1,1076.076,Fully Furnished,Built-up,2,0,0,Serviced Residence,Gold,Medium
Brickfields,1100000,4,1,1588.088,Fully Furnished,Built-up,4,1,0,Condominium,Silver,Large
Bandar Menjalara,388000,2,1,982.082,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Bandar Menjalara,380000,2,1,980.08,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Bandar Menjalara,378000,2,1,914.014,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Small
KLCC,3800000,6,3,3412.012,Fully Furnished,Built-up,3,1,0,Condominium,Deluxe,Large
Sri Hartamas,2800,2,1,1575.075,Fully Furnished,Built-up,3,1,0,Condominium,Bronze,Large
Jalan Kuching,620000,2,1,1400.0,Fully Furnished,Built-up,4,0,0,Condominium,Bronze,Medium
Dutamas,670000,2,1,1100.0,Fully Furnished,Built-up,3,0,0,Condominium,Silver,Medium
Setapak,980000,3,2,1703.003,Fully Furnished,Built-up,3,0,0,Serviced Residence,Silver,Large
Jalan Klang Lama (Old Klang Road),1500,2,1,1338.038,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
KLCC,2100000,2,1,1076.076,Partly Furnished,Built-up,1,1,0,Serviced Residence,Gold,Medium
KLCC,3100000,4,2,1668.068,Partly Furnished,Built-up,2,1,0,Serviced Residence,Gold,Large
KLCC,4350000,4,2,2195.095,Partly Furnished,Built-up,3,1,0,Serviced Residence,Deluxe,Large
Mont Kiara,3200000,5,3,3667.067,Partly Furnished,Built-up,4,1,0,Condominium,Gold,Large
Jalan Klang Lama (Old Klang Road),700000,2,2,1133.033,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Jalan Klang Lama (Old Klang Road),690000,2,2,1094.094,Partly Furnished,Built-up,3,0,0,Serviced Residence,Silver,Medium
Cheras,370000,2,1,1050.05,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Sri Petaling,585000,2,2,1257.057,Fully Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Cheras,1200000,6,1,52.08,Fully Furnished,Land area,4,1,0,Terrace/Link House,Gold,Small
Cheras,285000,2,1,903.003,Partly Furnished,Built-up,4,0,0,Condominium,Bronze,Small
Jalan Klang Lama (Old Klang Road),1300000,4,2,1857.057,Fully Furnished,Built-up,3,0,0,Condominium,Gold,Large
Bukit Jalil,2480000,6,4,4400.0,Unfurnished,Built-up,5,0,0,Semi-detached House,Gold,Extra Large
KLCC,799000,1,1,608.008,Fully Furnished,Land area,1,1,0,Serviced Residence,Silver,Small
Batu Caves,415000,2,1,1400.0,Partly Furnished,Built-up,3,0,0,Condominium,Bronze,Medium
Sungai Besi,419000,2,2,1000.0,Partly Furnished,Built-up,3,0,0,Serviced Residence,Bronze,Medium
Salak Selatan,650000,2,2,1600.0,Fully Furnished,Land area,2,1,0,Terrace/Link House,Silver,Large
Mont Kiara,1250000,2,1,1829.029,Fully Furnished,Built-up,2,1,0,Serviced Residence,Gold,Large
Cheras,1100000,3,2,55.075,Partly Furnished,Land area,3,1,0,Semi-detached House,Silver,Small
